longitude,latitude,aver_price,latlon
116.317831,40.039,109.5,"116.317831,40.039"
116.292291,39.856662,78.9,"116.292291,39.856662"
116.46615,39.963231,187.5,"116.46615,39.963231"
116.348521,39.930655,130.2,"116.348521,39.930655"
116.431393,39.957079,112.5,"116.431393,39.957079"
116.380727,40.01826,108.1,"116.380727,40.01826"
116.655265,40.139222,55.4,"116.655265,40.139222"
116.48049,39.945153,117.6,"116.48049,39.945153"
116.695318,39.896165,56.2,"116.695318,39.896165"
116.497474,39.810115,106.1,"116.497474,39.810115"
116.422746,39.870396,88.7,"116.422746,39.870396"
116.605035,40.051164,67.8,"116.605035,40.051164"
116.442531,39.89667,134.7,"116.442531,39.89667"
116.433791,39.966931,142.9,"116.433791,39.966931"
116.387037,39.95917,127.5,"116.387037,39.95917"
116.374008,39.863807,88.7,"116.374008,39.863807"
116.329472,39.977829,175.7,"116.329472,39.977829"
116.407943,39.714557,32.6,"116.407943,39.714557"
116.192392,39.778845,45.5,"116.192392,39.778845"
116.365812,39.960581,113.1,"116.365812,39.960581"
116.37555,40.042102,79.2,"116.37555,40.042102"
116.119651,39.934504,30.0,"116.119651,39.934504"
116.37785,39.842419,96.3,"116.37785,39.842419"
116.426617,39.867648,93.5,"116.426617,39.867648"
116.351869,40.093821,38.7,"116.351869,40.093821"
116.351337,39.931197,115.4,"116.351337,39.931197"
116.287131,39.853268,73.2,"116.287131,39.853268"
116.432287,39.920429,164.2,"116.432287,39.920429"
116.428411,40.135623,36.9,"116.428411,40.135623"
116.121964,39.939762,47.0,"116.121964,39.939762"
116.193066,39.866759,65.2,"116.193066,39.866759"
116.492288,39.80248,94.8,"116.492288,39.80248"
116.150848,39.741485,58.8,"116.150848,39.741485"
116.318055,39.770087,59.8,"116.318055,39.770087"
116.469439,39.891382,163.2,"116.469439,39.891382"
116.39145,39.978742,150.0,"116.39145,39.978742"
116.372382,39.958962,79.2,"116.372382,39.958962"
116.444857,39.954789,164.8,"116.444857,39.954789"
116.608355,39.936064,92.0,"116.608355,39.936064"
116.509448,39.874885,112.5,"116.509448,39.874885"
116.658104,39.8932,70.5,"116.658104,39.8932"
116.15082,39.742294,37.3,"116.15082,39.742294"
116.385769,39.841379,166.7,"116.385769,39.841379"
116.472064,39.88768,104.8,"116.472064,39.88768"
116.481385,39.874867,89.9,"116.481385,39.874867"
116.511523,39.938707,73.8,"116.511523,39.938707"
116.344572,39.966944,120.0,"116.344572,39.966944"
116.289102,39.923448,138.4,"116.289102,39.923448"
116.388606,39.965854,125.8,"116.388606,39.965854"
116.603501,39.919667,85.5,"116.603501,39.919667"
116.676119,39.875612,56.7,"116.676119,39.875612"
116.334907,39.744008,78.7,"116.334907,39.744008"
116.668841,40.113345,40.0,"116.668841,40.113345"
116.447783,39.94387,172.8,"116.447783,39.94387"
116.247008,39.906426,79.2,"116.247008,39.906426"
116.636725,40.031531,29.1,"116.636725,40.031531"
