longitude,latitude,dist,latlon
116.317831,40.039,海淀,"116.317831,40.039"
116.292291,39.856662,丰台,"116.292291,39.856662"
116.46615,39.963231,朝阳,"116.46615,39.963231"
116.348521,39.930655,西城,"116.348521,39.930655"
116.431393,39.957079,朝阳,"116.431393,39.957079"
116.380727,40.01826,朝阳,"116.380727,40.01826"
116.655265,40.139222,顺义,"116.655265,40.139222"
116.48049,39.945153,朝阳,"116.48049,39.945153"
116.695318,39.896165,通州,"116.695318,39.896165"
116.497474,39.810115,亦庄开发区,"116.497474,39.810115"
116.422746,39.870396,丰台,"116.422746,39.870396"
116.605035,40.051164,朝阳,"116.605035,40.051164"
116.442531,39.89667,朝阳,"116.442531,39.89667"
116.433791,39.966931,朝阳,"116.433791,39.966931"
116.387037,39.95917,西城,"116.387037,39.95917"
116.374008,39.863807,丰台,"116.374008,39.863807"
116.329472,39.977829,海淀,"116.329472,39.977829"
116.407943,39.714557,大兴,"116.407943,39.714557"
116.192392,39.778845,房山,"116.192392,39.778845"
116.365812,39.960581,海淀,"116.365812,39.960581"
116.37555,40.042102,海淀,"116.37555,40.042102"
116.119651,39.934504,门头沟,"116.119651,39.934504"
116.37785,39.842419,丰台,"116.37785,39.842419"
116.426617,39.867648,丰台,"116.426617,39.867648"
116.351869,40.093821,昌平,"116.351869,40.093821"
116.351337,39.931197,西城,"116.351337,39.931197"
116.287131,39.853268,丰台,"116.287131,39.853268"
116.432287,39.920429,东城,"116.432287,39.920429"
116.428411,40.135623,昌平,"116.428411,40.135623"
116.121964,39.939762,门头沟,"116.121964,39.939762"
116.193066,39.866759,丰台,"116.193066,39.866759"
116.492288,39.80248,亦庄开发区,"116.492288,39.80248"
116.150848,39.741485,房山,"116.150848,39.741485"
116.318055,39.770087,大兴,"116.318055,39.770087"
116.469439,39.891382,朝阳,"116.469439,39.891382"
116.39145,39.978742,朝阳,"116.39145,39.978742"
116.372382,39.958962,海淀,"116.372382,39.958962"
116.444857,39.954789,朝阳,"116.444857,39.954789"
116.608355,39.936064,朝阳,"116.608355,39.936064"
116.509448,39.874885,朝阳,"116.509448,39.874885"
116.658104,39.8932,通州,"116.658104,39.8932"
116.15082,39.742294,房山,"116.15082,39.742294"
116.385769,39.841379,丰台,"116.385769,39.841379"
116.472064,39.88768,朝阳,"116.472064,39.88768"
116.481385,39.874867,朝阳,"116.481385,39.874867"
116.511523,39.938707,朝阳,"116.511523,39.938707"
116.344572,39.966944,海淀,"116.344572,39.966944"
116.289102,39.923448,海淀,"116.289102,39.923448"
116.388606,39.965854,西城,"116.388606,39.965854"
116.603501,39.919667,朝阳,"116.603501,39.919667"
