longitude,latitude,aver_price,latlon
113.328222,23.066002,53.8,"113.328222,23.066002"
113.26667,23.111107,33.3,"113.26667,23.111107"
113.52174,23.089178,13.7,"113.52174,23.089178"
113.3414,23.164599,43.2,"113.3414,23.164599"
113.363748,23.462562,15.9,"113.363748,23.462562"
113.339521,23.019559,34.0,"113.339521,23.019559"
113.46379,23.099668,33.6,"113.46379,23.099668"
113.328343,23.280517,33.9,"113.328343,23.280517"
113.42659,22.933179,49.0,"113.42659,22.933179"
113.383863,23.00782,39.3,"113.383863,23.00782"
113.552318,23.113043,22.0,"113.552318,23.113043"
113.212336,23.161355,35.9,"113.212336,23.161355"
113.605493,23.131306,26.2,"113.605493,23.131306"
113.302786,23.277361,20.0,"113.302786,23.277361"
113.333391,23.110206,94.3,"113.333391,23.110206"
113.404696,23.097325,43.3,"113.404696,23.097325"
113.250429,23.122462,160.0,"113.250429,23.122462"
113.282723,23.085727,166.7,"113.282723,23.085727"
113.323897,23.123064,103.3,"113.323897,23.123064"
113.221618,23.069442,16.7,"113.221618,23.069442"
113.376888,23.128195,68.0,"113.376888,23.128195"
113.294401,23.144022,59.4,"113.294401,23.144022"
113.275379,23.141604,87.9,"113.275379,23.141604"
113.589323,23.155856,28.3,"113.589323,23.155856"
113.348627,23.118492,81.0,"113.348627,23.118492"
113.357947,23.129949,73.2,"113.357947,23.129949"
113.259861,23.066617,26.1,"113.259861,23.066617"
113.30108,23.108082,60.2,"113.30108,23.108082"
113.337151,23.107874,95.7,"113.337151,23.107874"
113.33632,23.121668,194.4,"113.33632,23.121668"
113.273904,23.168075,53.0,"113.273904,23.168075"
113.826281,23.288053,71.4,"113.826281,23.288053"
113.33044,23.101007,77.6,"113.33044,23.101007"
113.493869,23.177867,51.1,"113.493869,23.177867"
113.383738,22.937214,32.1,"113.383738,22.937214"
113.35251274674,23.176554414194,110.0,"113.35251274674,23.176554414194"
113.346183,23.149542,220.0,"113.346183,23.149542"
113.286477,23.241327,36.0,"113.286477,23.241327"
113.328069,22.966256,34.2,"113.328069,22.966256"
113.367783,23.148296,53.8,"113.367783,23.148296"
113.488435,23.197176,46.3,"113.488435,23.197176"
113.298809,23.240432,177.8,"113.298809,23.240432"
113.310389,22.970132,34.5,"113.310389,22.970132"
113.464266,23.10453,39.3,"113.464266,23.10453"
113.376764,23.010616,43.7,"113.376764,23.010616"
113.381905,23.140151,119.0,"113.381905,23.140151"
113.435542,23.120228,48.6,"113.435542,23.120228"
113.334969,22.974651,34.7,"113.334969,22.974651"
113.366514,23.129166,66.0,"113.366514,23.129166"
113.535973,23.170896,34.7,"113.535973,23.170896"
113.465652,23.110115,43.3,"113.465652,23.110115"
113.282696,23.115561,152.0,"113.282696,23.115561"
113.318926,23.030424,29.2,"113.318926,23.030424"
113.408319,23.136026,67.9,"113.408319,23.136026"
113.313373,23.136629,74.1,"113.313373,23.136629"
113.246207,23.079925,38.2,"113.246207,23.079925"
113.264932,23.178446,46.2,"113.264932,23.178446"
113.203146,23.11887,50.0,"113.203146,23.11887"
113.359492,22.938693,30.0,"113.359492,22.938693"
113.21707,23.160609,65.2,"113.21707,23.160609"
113.510982,23.163885,40.2,"113.510982,23.163885"
113.458395,23.194394,36.8,"113.458395,23.194394"
113.380178,23.13309,52.6,"113.380178,23.13309"
113.23346,23.147673,39.1,"113.23346,23.147673"
113.287166,23.143425,76.4,"113.287166,23.143425"
113.56427,23.141064,22.3,"113.56427,23.141064"
113.372504,23.15601,56.8,"113.372504,23.15601"
113.360604,23.139972,81.0,"113.360604,23.139972"
113.376764,23.010616,47.2,"113.376764,23.010616"
113.242587,23.082888,40.0,"113.242587,23.082888"
113.341481,23.00137,66.2,"113.341481,23.00137"
113.334842,23.104318,106.7,"113.334842,23.104318"
113.333163,23.033833,44.8,"113.333163,23.033833"
113.218308,23.151618,39.7,"113.218308,23.151618"
113.317353,23.134723,62.9,"113.317353,23.134723"
113.335961,23.12247,97.7,"113.335961,23.12247"
113.2745,23.166888,53.8,"113.2745,23.166888"
113.321714,23.090372,78.9,"113.321714,23.090372"
113.213228,23.117115,41.3,"113.213228,23.117115"
113.397014,23.09679,114.0,"113.397014,23.09679"
113.412016,22.944176,40.0,"113.412016,22.944176"
113.488435,23.197176,26.7,"113.488435,23.197176"
113.341754,23.09506,55.1,"113.341754,23.09506"
113.493869,23.177867,40.0,"113.493869,23.177867"
113.17091,23.402339,18.8,"113.17091,23.402339"
113.392442,23.128473,196.2,"113.392442,23.128473"
113.263786,23.203595,30.9,"113.263786,23.203595"
113.339197,23.12937,100.0,"113.339197,23.12937"
113.303081,23.223096,72.9,"113.303081,23.223096"
113.563883,23.202898,27.2,"113.563883,23.202898"
113.368056,23.139454,100.0,"113.368056,23.139454"
113.340987,23.304824,42.9,"113.340987,23.304824"
113.278748,23.146307,223.8,"113.278748,23.146307"
113.246251,23.183864,33.9,"113.246251,23.183864"
113.392442,23.128473,68.9,"113.392442,23.128473"
113.381905,23.140151,90.0,"113.381905,23.140151"
113.262664,23.188481,34.3,"113.262664,23.188481"
113.279763,23.245442,27.7,"113.279763,23.245442"
113.413215,23.172647,100.0,"113.413215,23.172647"
113.563883,23.202898,24.8,"113.563883,23.202898"
113.260431,23.200884,31.2,"113.260431,23.200884"
113.33822,23.149721,134.4,"113.33822,23.149721"
113.577915,23.138609,28.2,"113.577915,23.138609"
113.371166,23.146359,131.7,"113.371166,23.146359"
113.264291,23.175341,53.2,"113.264291,23.175341"
113.368056,23.139454,110.3,"113.368056,23.139454"
113.263176,23.187335,57.1,"113.263176,23.187335"
113.304749,23.148035,50.7,"113.304749,23.148035"
113.336697,23.127547,100.0,"113.336697,23.127547"
113.355668,23.123269,160.0,"113.355668,23.123269"
113.288957,23.14512,56.7,"113.288957,23.14512"
113.302156,23.054959,63.3,"113.302156,23.054959"
113.210923,23.151105,36.0,"113.210923,23.151105"
113.37426,23.012654,50.0,"113.37426,23.012654"
113.320213,23.027218,37.7,"113.320213,23.027218"
113.413215,23.172647,100.0,"113.413215,23.172647"
113.327917,22.99111,45.8,"113.327917,22.99111"
113.507991,23.179778,36.4,"113.507991,23.179778"
113.362164,23.09667,28.3,"113.362164,23.09667"
113.298688,23.142576,158.3,"113.298688,23.142576"
113.379576,23.092817,46.9,"113.379576,23.092817"
113.287124,23.130613,54.2,"113.287124,23.130613"
113.285778,23.240607,62.5,"113.285778,23.240607"
113.338076,23.127821,204.5,"113.338076,23.127821"
113.258493,23.18246,45.8,"113.258493,23.18246"
113.29224,23.129691,81.6,"113.29224,23.129691"
113.300348,23.03298,42.3,"113.300348,23.03298"
113.450522,23.102224,29.3,"113.450522,23.102224"
113.328716,23.163618,53.9,"113.328716,23.163618"
113.458395,23.194394,35.9,"113.458395,23.194394"
113.335255,23.125138,92.9,"113.335255,23.125138"
113.355668,23.123269,160.0,"113.355668,23.123269"
113.213652,23.144516,35.2,"113.213652,23.144516"
113.296646,23.127651,76.7,"113.296646,23.127651"
113.331775,23.189029,71.8,"113.331775,23.189029"
113.273034,23.163872,53.4,"113.273034,23.163872"
113.265314,23.179275,43.8,"113.265314,23.179275"
113.276531,23.17364,50.9,"113.276531,23.17364"
113.400453,22.941855,58.8,"113.400453,22.941855"
113.570261,23.137317,25.8,"113.570261,23.137317"
113.35085,23.122646,104.9,"113.35085,23.122646"
113.3717,23.216972,44.9,"113.3717,23.216972"
113.37781,23.141962,32.8,"113.37781,23.141962"
113.435738,23.035467,50.0,"113.435738,23.035467"
113.32736,23.168568,108.0,"113.32736,23.168568"
113.572519,23.138972,31.2,"113.572519,23.138972"
113.482209,22.949708,37.7,"113.482209,22.949708"
113.364738,23.156819,66.2,"113.364738,23.156819"
113.335952,23.109287,61.0,"113.335952,23.109287"
113.268507,23.200905,80.5,"113.268507,23.200905"
113.316313,23.108886,166.7,"113.316313,23.108886"
113.330584,23.022176,52.1,"113.330584,23.022176"
113.25738,23.149193,54.0,"113.25738,23.149193"
113.350246,23.192028,33.3,"113.350246,23.192028"
113.213652,23.144516,39.2,"113.213652,23.144516"
113.375688,23.196296,50.0,"113.375688,23.196296"
113.316342,23.153592,110.0,"113.316342,23.153592"
113.604271,23.145804,20.0,"113.604271,23.145804"
113.335255,23.125138,149.4,"113.335255,23.125138"
113.359056,23.011876,64.7,"113.359056,23.011876"
113.210834,23.181746,41.2,"113.210834,23.181746"
113.294302,23.103079,58.5,"113.294302,23.103079"
113.308881,23.047489,37.5,"113.308881,23.047489"
113.375369,23.195291,74.4,"113.375369,23.195291"
113.231964,23.181372,36.7,"113.231964,23.181372"
113.298335,23.229237,53.6,"113.298335,23.229237"
113.366831,23.173789,60.2,"113.366831,23.173789"
113.363748,23.462562,22.0,"113.363748,23.462562"
113.365741,23.135116,106.7,"113.365741,23.135116"
113.298591,23.077186,60.0,"113.298591,23.077186"
113.280727,23.001908,49.0,"113.280727,23.001908"
113.296107,23.098301,77.5,"113.296107,23.098301"
113.493869,23.177867,50.0,"113.493869,23.177867"
113.237929,23.100404,57.4,"113.237929,23.100404"
113.346814,22.967518,39.7,"113.346814,22.967518"
113.308195,23.294991,30.0,"113.308195,23.294991"
113.329399,23.1806,116.7,"113.329399,23.1806"
113.34719,23.145276,63.3,"113.34719,23.145276"
113.321323,23.107068,80.5,"113.321323,23.107068"
113.325662,23.126293,107.1,"113.325662,23.126293"
113.279008,23.130982,80.0,"113.279008,23.130982"
113.319383,23.027318,35.3,"113.319383,23.027318"
113.399416,23.144624,48.4,"113.399416,23.144624"
113.364361,22.911981,36.4,"113.364361,22.911981"
113.279946,23.267619,23.6,"113.279946,23.267619"
113.244405,23.125836,48.5,"113.244405,23.125836"
113.346709,23.128562,115.0,"113.346709,23.128562"
113.341754,23.09506,61.9,"113.341754,23.09506"
113.368924,23.463734,25.8,"113.368924,23.463734"
113.261226,23.14057,56.9,"113.261226,23.14057"
113.333163,23.033833,40.5,"113.333163,23.033833"
113.531158,23.217363,33.8,"113.531158,23.217363"
113.822594,23.280436,87.0,"113.822594,23.280436"
113.328343,23.280517,33.7,"113.328343,23.280517"
113.22175,23.069031,30.0,"113.22175,23.069031"
113.549699,22.826349,19.4,"113.549699,22.826349"
113.328343,23.280517,34.7,"113.328343,23.280517"
113.331676,23.135627,54.9,"113.331676,23.135627"
113.361684,23.038136,61.4,"113.361684,23.038136"
113.507991,23.179778,66.7,"113.507991,23.179778"
113.262394,23.112133,70.3,"113.262394,23.112133"
113.41039,23.131859,136.2,"113.41039,23.131859"
113.297877,23.072644,52.4,"113.297877,23.072644"
113.350792,23.147644,210.0,"113.350792,23.147644"
113.384511,23.170501,18.2,"113.384511,23.170501"
113.321368,23.132699,155.0,"113.321368,23.132699"
113.331775,23.189029,166.6,"113.331775,23.189029"
113.333373,23.029657,33.3,"113.333373,23.029657"
113.272958,23.178453,96.0,"113.272958,23.178453"
113.482209,22.949708,30.4,"113.482209,22.949708"
113.41012,23.120274,81.2,"113.41012,23.120274"
113.376365,23.088852,32.8,"113.376365,23.088852"
113.400199,23.132578,116.7,"113.400199,23.132578"
113.384792,23.137159,76.7,"113.384792,23.137159"
113.363748,23.462562,15.5,"113.363748,23.462562"
113.452314,23.102822,39.0,"113.452314,23.102822"
113.604271,23.145804,19.8,"113.604271,23.145804"
113.282954,23.189345,65.6,"113.282954,23.189345"
113.328615,23.200655,23.6,"113.328615,23.200655"
113.225822,23.156323,26.2,"113.225822,23.156323"
113.331753,22.9633,34.4,"113.331753,22.9633"
