longitude,latitude,dist,latlon
113.328222,23.066002,海珠,"113.328222,23.066002"
113.26667,23.111107,海珠,"113.26667,23.111107"
113.52174,23.089178,增城,"113.52174,23.089178"
113.3414,23.164599,天河,"113.3414,23.164599"
113.363748,23.462562,白云,"113.363748,23.462562"
113.339521,23.019559,番禺,"113.339521,23.019559"
113.46379,23.099668,天河,"113.46379,23.099668"
113.328343,23.280517,白云,"113.328343,23.280517"
113.42659,22.933179,番禺,"113.42659,22.933179"
113.383863,23.00782,番禺,"113.383863,23.00782"
113.552318,23.113043,增城,"113.552318,23.113043"
113.212336,23.161355,白云,"113.212336,23.161355"
113.605493,23.131306,增城,"113.605493,23.131306"
113.302786,23.277361,白云,"113.302786,23.277361"
113.333391,23.110206,海珠,"113.333391,23.110206"
113.404696,23.097325,海珠,"113.404696,23.097325"
113.250429,23.122462,荔湾,"113.250429,23.122462"
113.282723,23.085727,海珠,"113.282723,23.085727"
113.323897,23.123064,越秀,"113.323897,23.123064"
113.221618,23.069442,荔湾,"113.221618,23.069442"
113.376888,23.128195,天河,"113.376888,23.128195"
113.294401,23.144022,越秀,"113.294401,23.144022"
113.275379,23.141604,越秀,"113.275379,23.141604"
113.589323,23.155856,增城,"113.589323,23.155856"
113.348627,23.118492,天河,"113.348627,23.118492"
113.357947,23.129949,天河,"113.357947,23.129949"
113.259861,23.066617,荔湾,"113.259861,23.066617"
113.30108,23.108082,海珠,"113.30108,23.108082"
113.337151,23.107874,海珠,"113.337151,23.107874"
113.33632,23.121668,天河,"113.33632,23.121668"
113.273904,23.168075,白云,"113.273904,23.168075"
113.826281,23.288053,增城,"113.826281,23.288053"
113.33044,23.101007,海珠,"113.33044,23.101007"
113.493869,23.177867,增城,"113.493869,23.177867"
113.383738,22.937214,番禺,"113.383738,22.937214"
113.35251274674,23.176554414194,天河,"113.35251274674,23.176554414194"
113.346183,23.149542,天河,"113.346183,23.149542"
113.286477,23.241327,白云,"113.286477,23.241327"
113.328069,22.966256,番禺,"113.328069,22.966256"
113.367783,23.148296,天河,"113.367783,23.148296"
113.488435,23.197176,增城,"113.488435,23.197176"
113.298809,23.240432,白云,"113.298809,23.240432"
113.300537,23.338249,白云,"113.300537,23.338249"
113.310389,22.970132,番禺,"113.310389,22.970132"
113.464266,23.10453,天河,"113.464266,23.10453"
113.376764,23.010616,番禺,"113.376764,23.010616"
113.381905,23.140151,天河,"113.381905,23.140151"
113.435542,23.120228,天河,"113.435542,23.120228"
113.334969,22.974651,番禺,"113.334969,22.974651"
113.366514,23.129166,天河,"113.366514,23.129166"
113.535973,23.170896,增城,"113.535973,23.170896"
113.338076,23.127821,天河,"113.338076,23.127821"
113.465652,23.110115,天河,"113.465652,23.110115"
113.282696,23.115561,海珠,"113.282696,23.115561"
113.318926,23.030424,番禺,"113.318926,23.030424"
113.408319,23.136026,天河,"113.408319,23.136026"
113.313373,23.136629,越秀,"113.313373,23.136629"
113.246207,23.079925,荔湾,"113.246207,23.079925"
113.264932,23.178446,白云,"113.264932,23.178446"
113.203146,23.11887,荔湾,"113.203146,23.11887"
113.359492,22.938693,番禺,"113.359492,22.938693"
113.21707,23.160609,白云,"113.21707,23.160609"
113.510982,23.163885,增城,"113.510982,23.163885"
113.458395,23.194394,增城,"113.458395,23.194394"
113.380178,23.13309,天河,"113.380178,23.13309"
113.23346,23.147673,白云,"113.23346,23.147673"
113.287166,23.143425,越秀,"113.287166,23.143425"
113.56427,23.141064,增城,"113.56427,23.141064"
113.372504,23.15601,天河,"113.372504,23.15601"
113.360604,23.139972,天河,"113.360604,23.139972"
