longitude,latitude,dist,latlon
121.244126,31.04927,松江,"121.244126,31.04927"
121.5305678,31.23972158,浦东,"121.5305678,31.23972158"
121.446148,31.196172,徐汇,"121.446148,31.196172"
121.5337602,31.24132805,浦东,"121.5337602,31.24132805"
121.25584,31.040236,松江,"121.25584,31.040236"
121.258092,31.124545,松江,"121.258092,31.124545"
121.532785,31.321813,杨浦,"121.532785,31.321813"
121.503138,31.261887,虹口,"121.503138,31.261887"
121.503931,31.184457,浦东,"121.503931,31.184457"
121.429249,31.04223,闵行,"121.429249,31.04223"
121.388411,31.250634,普陀,"121.388411,31.250634"
121.199536,31.045804,松江,"121.199536,31.045804"
121.362808,31.10631595,闵行,"121.362808,31.10631595"
121.456397,31.331925,宝山,"121.456397,31.331925"
121.46676,30.924719,奉贤,"121.46676,30.924719"
121.370725,31.40726,宝山,"121.370725,31.40726"
121.504736,31.176752,浦东,"121.504736,31.176752"
121.4429739,31.24019708,静安,"121.4429739,31.24019708"
121.4463817,31.14552894,徐汇,"121.4463817,31.14552894"
121.485994,31.341862,宝山,"121.485994,31.341862"
121.445025,30.999746,奉贤,"121.445025,30.999746"
121.749825,31.044906,浦东,"121.749825,31.044906"
121.382038,31.191666,闵行,"121.382038,31.191666"
121.678239,31.231371,浦东,"121.678239,31.231371"
121.4282266,31.24090706,普陀,"121.4282266,31.24090706"
121.259622,31.335988,嘉定,"121.259622,31.335988"
121.297508,31.174697,青浦,"121.297508,31.174697"
121.589539,31.290138,浦东,"121.589539,31.290138"
121.332853,31.081889,松江,"121.332853,31.081889"
121.678409,31.247214,浦东,"121.678409,31.247214"
121.394358,31.109125,闵行,"121.394358,31.109125"
121.514066,31.236233,浦东,"121.514066,31.236233"
121.415584,31.213265,长宁,"121.415584,31.213265"
121.198601,31.052462,松江,"121.198601,31.052462"
121.492813,31.210359,黄浦,"121.492813,31.210359"
121.40772,31.194389,闵行,"121.40772,31.194389"
121.240334,31.047132,松江,"121.240334,31.047132"
121.031395,31.119975,青浦,"121.031395,31.119975"
121.514066,31.236233,浦东,"121.514066,31.236233"
121.59656,31.248526,浦东,"121.59656,31.248526"
121.488277,31.294785,虹口,"121.488277,31.294785"
121.539738,31.211494,浦东,"121.539738,31.211494"
121.464022,31.211802,徐汇,"121.464022,31.211802"
121.199644,31.110319,松江,"121.199644,31.110319"
121.547464,31.220335,浦东,"121.547464,31.220335"
121.350627,31.090662,松江,"121.350627,31.090662"
121.448309,31.39149027,宝山,"121.448309,31.39149027"
121.211391,31.022959,松江,"121.211391,31.022959"
121.387921,31.260099,普陀,"121.387921,31.260099"
121.3718551,31.14767802,闵行,"121.3718551,31.14767802"
121.3811297,31.25881044,嘉定,"121.3811297,31.25881044"
121.399797,31.105832,闵行,"121.399797,31.105832"
121.460662,31.248414,闸北,"121.460662,31.248414"
121.520399,31.227414,浦东,"121.520399,31.227414"
121.391715,31.323636,宝山,"121.391715,31.323636"
121.472725,31.244763,黄浦,"121.472725,31.244763"
121.500032,31.265312,虹口,"121.500032,31.265312"
121.2645469,31.38833148,嘉定,"121.2645469,31.38833148"
121.490865,31.420327,宝山,"121.490865,31.420327"
121.52627,31.231159,浦东,"121.52627,31.231159"
121.384658,31.250248,普陀,"121.384658,31.250248"
121.574892,31.202997,浦东,"121.574892,31.202997"
121.3628836,30.74065458,金山,"121.3628836,30.74065458"
121.537027,31.205372,浦东,"121.537027,31.205372"
121.31227,31.177007,青浦,"121.31227,31.177007"
121.428933,31.17756,徐汇,"121.428933,31.17756"
121.570457,31.202218,浦东,"121.570457,31.202218"
121.597292,31.304624,浦东,"121.597292,31.304624"
121.2462989,31.34873307,嘉定,"121.2462989,31.34873307"
121.366553,31.092297,松江,"121.366553,31.092297"
121.541764,31.241526,浦东,"121.541764,31.241526"
121.481756,31.213694,黄浦,"121.481756,31.213694"
121.494292,31.166274,浦东,"121.494292,31.166274"
121.459686,31.240443,静安,"121.459686,31.240443"
121.415712,31.126556,闵行,"121.415712,31.126556"
121.388304,31.222777,长宁,"121.388304,31.222777"
121.513955,31.2881228,杨浦,"121.513955,31.2881228"
121.2462989,31.34873307,嘉定,"121.2462989,31.34873307"
121.451405,31.259226,普陀,"121.451405,31.259226"
121.569816,31.152398,浦东,"121.569816,31.152398"
121.2450289,31.11902956,松江,"121.2450289,31.11902956"
121.5026077,31.1086371,闵行,"121.5026077,31.1086371"
121.180814,31.097088,松江,"121.180814,31.097088"
121.5936763,31.1128345,浦东,"121.5936763,31.1128345"
121.760221,31.188013,浦东,"121.760221,31.188013"
121.424995,31.211294,长宁,"121.424995,31.211294"
121.596204,31.10383774,浦东,"121.596204,31.10383774"
121.535504,31.24320518,浦东,"121.535504,31.24320518"
121.629566,31.207076,浦东,"121.629566,31.207076"
121.3879643,31.10297352,闵行,"121.3879643,31.10297352"
121.383074,31.116283,闵行,"121.383074,31.116283"
121.542656,31.305005,杨浦,"121.542656,31.305005"
121.694382,31.203289,浦东,"121.694382,31.203289"
121.498509,31.165334,浦东,"121.498509,31.165334"
121.3694236,31.22485231,长宁,"121.3694236,31.22485231"
121.714993,31.192621,浦东,"121.714993,31.192621"
121.440323,31.245287,普陀,"121.440323,31.245287"
121.459522,31.210131,徐汇,"121.459522,31.210131"
121.6061953,31.27885008,浦东,"121.6061953,31.27885008"
121.3175491,31.24657189,嘉定,"121.3175491,31.24657189"
121.2746879,31.12477498,松江,"121.2746879,31.12477498"
121.3995363,31.21016064,长宁,"121.3995363,31.21016064"
121.432148,31.193303,徐汇,"121.432148,31.193303"
121.620689,31.277683,浦东,"121.620689,31.277683"
121.570909,31.129638,浦东,"121.570909,31.129638"
121.180814,31.097088,松江,"121.180814,31.097088"
121.4782629,31.25957717,闸北,"121.4782629,31.25957717"
121.3808393,31.13148269,闵行,"121.3808393,31.13148269"
121.487775,31.206441,黄浦,"121.487775,31.206441"
121.439679,31.261627,普陀,"121.439679,31.261627"
121.08471,31.141584,青浦,"121.08471,31.141584"
121.380517,31.242484,普陀,"121.380517,31.242484"
121.3777342,31.19697902,长宁,"121.3777342,31.19697902"
121.530005,31.290749,杨浦,"121.530005,31.290749"
121.410122,31.199759,长宁,"121.410122,31.199759"
121.414407,31.258636,普陀,"121.414407,31.258636"
121.54842438518,31.237858529952,浦东,"121.54842438518,31.237858529952"
121.5110409,31.26095035,虹口,"121.5110409,31.26095035"
121.447527,31.233262,静安,"121.447527,31.233262"
121.5333359,31.2270147,浦东,"121.5333359,31.2270147"
121.427526,31.213132,长宁,"121.427526,31.213132"
121.369,31.400358,宝山,"121.369,31.400358"
121.449269,31.26434,普陀,"121.449269,31.26434"
121.475575,30.922886,奉贤,"121.475575,30.922886"
121.510829,31.223559,黄浦,"121.510829,31.223559"
121.2583694,31.39511794,嘉定,"121.2583694,31.39511794"
121.4020971,31.2410343,普陀,"121.4020971,31.2410343"
121.74509,31.076153,浦东,"121.74509,31.076153"
121.187358,31.040323,松江,"121.187358,31.040323"
121.21573,31.047458,松江,"121.21573,31.047458"
121.230882,31.172394,青浦,"121.230882,31.172394"
121.085638,31.137912,青浦,"121.085638,31.137912"
121.411257,31.238856,普陀,"121.411257,31.238856"
121.375163,31.234064,普陀,"121.375163,31.234064"
121.547464,31.220335,浦东,"121.547464,31.220335"
121.539291,31.239189,浦东,"121.539291,31.239189"
121.2713501,31.3517821,嘉定,"121.2713501,31.3517821"
121.390245,31.223884,长宁,"121.390245,31.223884"
121.48565,31.345913,宝山,"121.48565,31.345913"
121.240553,31.113077,松江,"121.240553,31.113077"
121.368518,31.158899,闵行,"121.368518,31.158899"
121.5333359,31.2270147,浦东,"121.5333359,31.2270147"
121.6410064,31.20407395,浦东,"121.6410064,31.20407395"
121.365793,31.195948,长宁,"121.365793,31.195948"
121.442506,31.405518,宝山,"121.442506,31.405518"
121.4298131,31.18186825,徐汇,"121.4298131,31.18186825"
121.3239396,31.25284993,嘉定,"121.3239396,31.25284993"
121.4126279,31.31920939,宝山,"121.4126279,31.31920939"
121.3126498,31.31632075,嘉定,"121.3126498,31.31632075"
121.4654966,31.31974878,闸北,"121.4654966,31.31974878"
121.6153405,31.18454176,浦东,"121.6153405,31.18454176"
121.456538,31.200456,徐汇,"121.456538,31.200456"
121.4574548,31.2373644,静安,"121.4574548,31.2373644"
121.236356,31.064969,松江,"121.236356,31.064969"
121.712548,31.114024,浦东,"121.712548,31.114024"
121.491712,30.929942,奉贤,"121.491712,30.929942"
121.471835,31.232529,静安,"121.471835,31.232529"
121.478518,31.261412,闸北,"121.478518,31.261412"
121.6368981,31.18797707,浦东,"121.6368981,31.18797707"
121.40158,31.255035,普陀,"121.40158,31.255035"
121.53037,31.215439,浦东,"121.53037,31.215439"
121.0980648,31.17103271,青浦,"121.0980648,31.17103271"
121.760221,31.188013,浦东,"121.760221,31.188013"
121.4241778,31.1580873,徐汇,"121.4241778,31.1580873"
121.360786,31.116617,松江,"121.360786,31.116617"
121.373039,31.218652,长宁,"121.373039,31.218652"
121.466229,31.12562,徐汇,"121.466229,31.12562"
121.3685868,31.09724125,松江,"121.3685868,31.09724125"
121.4465152,31.17856637,徐汇,"121.4465152,31.17856637"
121.3695544,31.21032018,长宁,"121.3695544,31.21032018"
121.4300044,31.24579602,普陀,"121.4300044,31.24579602"
121.7825326,31.06262954,浦东,"121.7825326,31.06262954"
121.3986429,31.24253857,普陀,"121.3986429,31.24253857"
121.411721,31.27072,普陀,"121.411721,31.27072"
121.6153405,31.18454176,浦东,"121.6153405,31.18454176"
121.275342,31.17737,青浦,"121.275342,31.17737"
121.447023,31.177829,徐汇,"121.447023,31.177829"
121.450142,31.25158,普陀,"121.450142,31.25158"
121.7227532,31.2081826,浦东,"121.7227532,31.2081826"
121.5259831,30.94787457,奉贤,"121.5259831,30.94787457"
121.437777,31.353984,宝山,"121.437777,31.353984"
121.270783,31.363286,嘉定,"121.270783,31.363286"
121.4908481,31.23921038,黄浦,"121.4908481,31.23921038"
121.443312,31.243318,普陀,"121.443312,31.243318"
121.549623,31.234018,浦东,"121.549623,31.234018"
121.3262429,31.31590416,嘉定,"121.3262429,31.31590416"
121.3156928,31.15002611,松江,"121.3156928,31.15002611"
121.26026,31.111056,松江,"121.26026,31.111056"
121.540344,31.191306,浦东,"121.540344,31.191306"
121.3785894,31.26096741,嘉定,"121.3785894,31.26096741"
121.4445327,31.21333813,徐汇,"121.4445327,31.21333813"
121.5936064,31.28852066,浦东,"121.5936064,31.28852066"
121.24365133772,31.365062207807,嘉定,"121.24365133772,31.365062207807"
121.253331,31.344319,嘉定,"121.253331,31.344319"
121.485528,31.252197,闸北,"121.485528,31.252197"
121.230488,31.391093,嘉定,"121.230488,31.391093"
121.595808,31.122609,浦东,"121.595808,31.122609"
121.4853314117,31.156355216268,浦东,"121.4853314117,31.156355216268"
121.435439,31.241507,普陀,"121.435439,31.241507"
121.317687,31.181937,青浦,"121.317687,31.181937"
121.333038,31.079884,松江,"121.333038,31.079884"
121.506207,31.218731,黄浦,"121.506207,31.218731"
121.394538,31.032139,闵行,"121.394538,31.032139"
121.433182,31.169766,徐汇,"121.433182,31.169766"
121.323698,31.321326,嘉定,"121.323698,31.321326"
121.425213,31.220997,长宁,"121.425213,31.220997"
121.436254,31.266156,普陀,"121.436254,31.266156"
121.4881112,31.263899,虹口,"121.4881112,31.263899"
121.520126,31.323203,杨浦,"121.520126,31.323203"
121.342043,31.275791,嘉定,"121.342043,31.275791"
121.396666,31.139601,闵行,"121.396666,31.139601"
121.5208154,31.28367535,杨浦,"121.5208154,31.28367535"
121.451405,31.259226,普陀,"121.451405,31.259226"
121.414915,31.280787,宝山,"121.414915,31.280787"
121.520399,31.227414,浦东,"121.520399,31.227414"
121.496514,31.280996,虹口,"121.496514,31.280996"
121.397172,31.180056,闵行,"121.397172,31.180056"
121.465775,31.214345,徐汇,"121.465775,31.214345"
121.6649723,31.03374541,浦东,"121.6649723,31.03374541"
121.6051062,31.13125946,浦东,"121.6051062,31.13125946"
121.1033306,31.14643004,青浦,"121.1033306,31.14643004"
121.499027,31.333324,宝山,"121.499027,31.333324"
121.4560535,31.27070761,闸北,"121.4560535,31.27070761"
121.406969,31.295084,宝山,"121.406969,31.295084"
121.539745,31.245341,浦东,"121.539745,31.245341"
121.367643,31.36706,宝山,"121.367643,31.36706"
121.4592559,31.28604257,闸北,"121.4592559,31.28604257"
121.4415524,31.13630503,徐汇,"121.4415524,31.13630503"
121.658861,31.20755557,浦东,"121.658861,31.20755557"
121.474376,31.286329,虹口,"121.474376,31.286329"
121.441888,31.209932,长宁,"121.441888,31.209932"
121.4780405,31.30277076,虹口,"121.4780405,31.30277076"
121.620053,31.218749,浦东,"121.620053,31.218749"
121.506688,31.186981,浦东,"121.506688,31.186981"
121.6193856,31.22197164,浦东,"121.6193856,31.22197164"
121.6587671,31.21039754,浦东,"121.6587671,31.21039754"
121.533908,31.16774525,浦东,"121.533908,31.16774525"
121.437065,31.168565,徐汇,"121.437065,31.168565"
121.558271,31.238279,浦东,"121.558271,31.238279"
121.323527,31.017949,松江,"121.323527,31.017949"
